Latitude,Longitude,Annuli,Tot.Length,Ploidy,Sex,Fish.Wt,Gonad.Wt
31.03,-91.73,4,970,Diploid,Male,9.03,10
31.03,-91.73,3,953,Diploid,Female,10.16,779
31.04,-91.72,2,815,ND,Female,6.00,3
31.06,-91.71,4,1207,ND,Female,26.25,1703
31.06,-91.71,5,1040,ND,Female,13.80,930
31.07,-91.71,3,791,ND,Male,5.91,5
31.07,-91.71,2,884,ND,Male,9.28,14
31.08,-91.62,4,1130,ND,Female,16.26,1080
31.08,-91.62,4,1055,ND,Female,18.22,1030
31.08,-91.62,3,766,Diploid,Male,4.66,4
31.08,-91.62,2,817,Diploid,Male,6.30,7
33.38,-91.18,2,819,ND,Male,7.43,5
33.38,-91.18,6,1285,Diploid,Female,24.53,715
33.49,-91.18,2,831,Diploid,Female,6.84,43
33.38,-91.18,2,878,Diploid,Male,8.01,16
33.42,-91.18,4,920,Diploid,Male,7.71,ND
33.38,-91.18,3,866,Diploid,Female,7.08,32
33.45,-91.17,1,737,Diploid,Male,5.17,2
33.38,-91.17,2,831,Diploid,Male,7.75,18
33.38,-91.15,2,747,ND,Male,ND,13
33.5,-91.15,2,682,ND,Male,3.50,4
33.38,-91.14,3,934,ND,Female,9.60,28
33.38,-91.14,3,754,Diploid,Male,4.54,ND
33.48,-91.14,3,903,Diploid,Male,8.88,15
33.12,-91.14,3,682,ND,Male,3.77,1
33.21,-91.1,7,1312,ND,Female,26.27,630
33.18,-91.1,7,1040,Diploid,Male,12.42,17
33.2,-91.1,2,888,ND,Male,8.24,10
33.2,-91.1,2,942,ND,Male,8.99,14
33.19,-91.1,2,895,ND,Female,8.08,13
33.2,-91.1,3,974,ND,Male,11.54,33
33.24,-91.1,2,800,ND,Female,6.58,10
33.16,-91.1,2,794,ND,Male,6.16,6
33.24,-91.09,2,932,ND,Male,11.20,12
33.45,-91.09,2,925,ND,Male,9.60,3
33.38,-91.09,1,760,Diploid,Male,6.18,46
33.38,-91.09,1,803,Diploid,Male,7.01,60
34.32,-91.08,2,689,ND,Female,4.71,1
33.29,-91.08,2,776,ND,Female,5.57,7
39.52,-91.07,5,840,Diploid,Male,5.41,43
33.42,-91.06,2,690,Diploid,Female,4.68,12
39.36,-90.85,1,580,Diploid,Male,1.95,2
39.19,-90.61,3,970,Diploid,Female,11.79,220
34.62,-90.52,2,774,ND,Male,5.67,ND
38.96,-90.46,3,718,Diploid,Male,3.80,3
38.95,-90.39,3,825,Diploid,Female,6.47,66
38.33,-90.37,6,1157,Diploid,Female,18.47,400
38.24,-90.37,3,865,Triploid,Male,6.26,4
38.36,-90.36,5,1018,Diploid,Female,20.00,2360
38.36,-90.36,5,1000,Diploid,Male,10.80,32
38.21,-90.35,5,920,Diploid,Male,9.35,33
38.95,-90.34,3,734,ND,Female,3.98,11
38.38,-90.34,6,1050,Diploid,Female,13.98,1780
38.49,-90.27,2,642,ND,Male,2.79,1
38.49,-90.27,3,784,ND,Male,5.63,6
38.91,-90.23,2,757,Diploid,Male,5.50,3
38.89,-90.21,4,1030,Diploid,Female,13.00,322
38.88,-90.17,5,1160,Diploid,Female,16.40,345
38.88,-90.17,1,530,Diploid,Male,1.64,8
38.86,-90.15,2,573,Diploid,Female,2.19,2
38.86,-90.15,2,573,Diploid,Male,2.30,1
38.86,-90.15,2,605,Diploid,ND,2.30,2
38.86,-90.15,1,551,Diploid,Male,1.67,5
38.86,-90.15,2,488,Diploid,Male,1.30,2
38.86,-90.15,2,522,Diploid,Male,1.41,2
38.86,-90.15,3,776,ND,Female,4.52,14
38.86,-90.15,2,545,Diploid,ND,1.47,ND
38.86,-90.15,3,610,Diploid,Female,2.17,5
38.86,-90.15,2,701,Diploid,Male,3.41,1
38.86,-90.15,2,502,No result,Male,1.07,ND
38.86,-90.15,2,615,Diploid,Female,2.35,3
38.86,-90.14,2,610,Diploid,ND,2.51,ND
38.86,-90.14,2,610,Diploid,ND,2.45,ND
