ID,Species,AAM,Loc,Loc_type,Condition,habitat,Code,Sp_Code,Latitude,Longitude,AnnualTemp,WarmTemp,ColdTemp,AnnualDD,AnnualDD.5,AnnualDD.10
2,Bighead,4,Amu_darya,calculated,natural,river,A,A,40.5924,62.1156,14.2,27.6,0.4,5506.544308,3996.219442,2742.863303
81,Bighead,4,Turkmen,calculated,artificial,fish farm,A,A,39.145,60.1958,15.5,28.5,2.2,6278.734201,4650.34627,3287.759726
83,Grass,3.5,Turkmen,calculated,artificial,fish farm,A,AC,39.145,60.1958,15.5,28.5,2.2,6278.734201,4650.34627,3287.759726
83,Grass,4,Turkmen,calculated,natural,river,A,AC,39.145,60.1958,15.5,28.5,2.2,6278.734201,4650.34627,3287.759726
85,Silver,3,Uzbeck,calculated,artificial,fish farm,A,BI,41.8459,64.1736,14,28.6,-1.1,5650.251908,4191.355176,2960.606648
4,Silver,4,Amu_darya,calculated,natural,river,A,BI,40.5924,62.1156,14.2,27.6,0.4,5506.544308,3996.219442,2742.863303
3,Grass,7,Amu_darya,calculated,natural,river,A,AC,40.5924,62.1156,14.2,27.6,0.4,5506.544308,3996.219442,2742.863303
82,Black,7.5,Turkmen,calculated,,,A,AA,39.145,60.1958,15.5,28.5,2.2,6278.734201,4650.34627,3287.759726
46,Grass,6.167,Low_Volga,calculated,natural,river,AA,AD,48.6111,44.5933,8.6,23.3,-6.1,3922.024358,2719.282742,1731.006498
47,Grass,1.75,Malacca,specific,artificial,ponds,AB,AE,2.1944,102.2486,27.3,27.8,26.8,10183.43861,8357.359875,6531.359875
48,Silver,2,Mid_Miss,calculated,natural,river,AC,BS,37.9458,-89.8858,12.9,24.2,0.6,5192.310868,3652.73981,2370.378266
49,Bighead,3,Missoui_River,calculated,natural,river,AD,I,39.3148,-93.4119,12.1,24.2,-1.2,4898.758748,3444.705035,2233.651236
52,Grass,3,Nepal,calculated,artificial,fish farm,AE,AF,28.4074,84.2923,10.2,15,3.9,6224.550034,4404.794749,2689.726577
53,Bighead,5.5,North_China,calculated,artificial,pond,AF,K,45.9386,112.712,1.6,19,-17.7,3053.807201,2061.425297,1236.494169
55,Grass,5.5,North_China,calculated,artificial,pond,AF,AG,45.9386,112.712,1.6,19,-17.7,3053.807201,2061.425297,1236.494169
54,Black,7.5,North_China,calculated,,,AF,V,45.9386,112.712,1.6,19,-17.7,3053.807201,2061.425297,1236.494169
56,Silver,4.5,North_China,calculated,both (Korunuma 1968),both,AF,BT,45.9386,112.712,1.6,19,-17.7,3053.807201,2061.425297,1236.494169
57,Bighead,6.5,NorthE_China,calculated,?,"two sources, one from pond, one still try to find the original references",AG,L,45.5192,124.2655,4.9,22,-14.3,3602.217698,2527.267421,1604.170894
58,Black,8,NorthE_China,calculated,,,AG,W,45.5192,124.2655,4.9,22,-14.3,3602.217698,2527.267421,1604.170894
59,Grass,6.5,NorthE_China,calculated,artificial,pond,AG,AH,45.5192,124.2655,4.9,22,-14.3,3602.217698,2527.267421,1604.170894
60,Silver,5.5,NorthE_China,calculated,artificial,pond,AG,BU,45.5192,124.2655,4.9,22,-14.3,3602.217698,2527.267421,1604.170894
62,Grass,6,Poland,calculated,artificial,pond,AH,AI,51.9515,19.9889,7.8,17.7,-3.6,3381.977899,2036.990672,1033.046389
68,Silver,5,South_Russia,calculated,artificial,fish farm,AI,BV,46.5957,42.1203,10,22.8,-3,4196.012393,2864.227221,1799.405494
69,Black,11,South_Ukraine,calculated,,,AJ,Y,47.3188,33.6678,9.3,21.3,-2.5,4150.623103,2776.648615,1693.090507
70,Grass,4.5,Yangtze,calculated,natural,river,AP,AJ,29.7359,107.0462,17.4,26.6,7.7,6552.174042,4736.940627,3103.042403
72,Grass,3.5,Syr_darya,calculated,natural,river,AL,AK,44.1331,66.771,11.1,26.1,-4.7,4822.389416,3484.190105,2361.906645
73,Silver,3.5,Syr_darya,calculated,natural,river,AL,BW,44.1331,66.771,11.1,26.1,-4.7,4822.389416,3484.190105,2361.906645
74,Bighead,3.5,Taiwan,calculated,na,na,AM,O,23.8197,121.1133,12.6,15.8,8.4,6295.195053,4470.516946,2684.517875
76,Grass,4.5,Taiwan,calculated,artificial,pond,AM,AL,23.8197,121.1133,12.6,15.8,8.4,6295.195053,4470.516946,2684.517875
75,Black,5,Taiwan,calculated,,,AM,Z,23.8197,121.1133,12.6,15.8,8.4,6295.195053,4470.516946,2684.517875
77,Grass,2,Tamilnadu,calculated,artificial,ponds,AN,AM,11.6267,78.5244,28.1,30.8,25,9991.786825,8165.643967,6339.50111
84,Grass,9.5,Upp_Amur,calculated,natural,river,AO,AN,49.866,116.839,-1.8,17.9,-23.4,2591.555012,1688.473536,957.1846159
87,Silver,4,Yangtze,calculated,natural,river,AP,BY,29.7359,107.0462,17.4,26.6,7.7,6552.174042,4736.940627,3103.042403
86,Black,4.333,Yangtze,calculated,,,AP,AB,29.7359,107.0462,17.4,26.6,7.7,6552.174042,4736.940627,3103.042403
30,Silver,2,Guangxi,calculated,na,na,B,BP,24.222,109.1671,20.7,28.1,11.8,7758.178977,5936.445022,4182.824984
67,Silver,3,South_China,calculated,natural,river,B,BP,23.2641,110.5535,21.6,28.1,13.6,8239.560059,6414.070306,4617.382095
67,Silver,2.833,South_China,calculated,both (Korunuma 1968),both,B,BP,23.2641,110.5535,21.6,28.1,13.6,8239.560059,6414.070306,4617.382095
29,Silver,3,Guangdong,calculated,na,na,B,BP,22.5981,112.5323,22.4,28.3,15.1,8446.224349,6620.673836,4808.795802
